( 2023/02/09 17:11:46.352) #right_data: ,R_FSR1,R_FSR2,R_FSR3,R_FSR4,R_FSR5,R_FSR6,R_FSR7,R_FSR8
( 2023/02/09 17:12:38.141) #right_data: ,0.34,0,0,0,0,0,0.13,0.21
( 2023/02/09 17:12:38.204) #right_data: ,0.34,0,0,0,0,0,0.13,0.21
( 2023/02/09 17:12:38.264) #right_data: ,4.85,0.22,0.4,1.05,0,0.79,4.64,2.11
( 2023/02/09 17:12:38.329) #right_data: ,5.66,0.13,1.11,0,0,0.93,3.51,1.19
( 2023/02/09 17:12:38.398) #right_data: ,5.79,1.99,0.61,0.28,0,0.96,2.44,0.26
( 2023/02/09 17:12:38.466) #right_data: ,6.06,3.95,1.57,0.39,0,0.56,0.34,0.13
( 2023/02/09 17:12:38.527) #right_data: ,5.99,4.17,1.74,0.34,0,0.53,0.15,0.07
( 2023/02/09 17:12:38.586) #right_data: ,6.06,4.35,1.87,0.34,0,0.46,0.06,0.03
( 2023/02/09 17:12:38.650) #right_data: ,6.06,4.35,1.87,0.34,0,0.46,0.06,0.03
( 2023/02/09 17:12:38.718) #right_data: ,6.27,5.18,2.42,0.7,0,0.87,0.44,0.25
( 2023/02/09 17:12:38.785) #right_data: ,6.42,4.59,3.11,1.67,0,0.5,0,0
( 2023/02/09 17:12:38.844) #right_data: ,5.12,0.25,1.26,0.92,0,0,0,0
( 2023/02/09 17:12:38.907) #right_data: ,0.34,0,0,0.01,0,0,0,0
( 2023/02/09 17:12:38.972) #right_data: ,0.36,0,0,0,0,0,0,0
( 2023/02/09 17:12:39.040) #right_data: ,0.43,0,0,0,0,0,0,0
( 2023/02/09 17:12:39.109) #right_data: ,0.67,0,0,0,0,0,0,0
( 2023/02/09 17:12:39.170) #right_data: ,0.67,0,0,0,0,0,0,0
( 2023/02/09 17:12:39.229) #right_data: ,0.59,0,0,0,0,0,0,0
( 2023/02/09 17:12:39.292) #right_data: ,0.4,0,0,0,0,0,0,0
( 2023/02/09 17:12:39.360) #right_data: ,0.22,0,0,0,0,0,0.32,0.42
( 2023/02/09 17:12:39.429) #right_data: ,0.22,0,0,0,0,0,0.32,0.42
( 2023/02/09 17:12:39.495) #right_data: ,3.74,0.02,0.25,1.17,0,1.13,4.96,2.95
( 2023/02/09 17:12:39.556) #right_data: ,5.3,0.79,1.06,0.88,0,0.15,2.95,1.06
( 2023/02/09 17:12:39.614) #right_data: ,5.79,0.41,0.57,1.16,0,0.28,0.69,1.19
( 2023/02/09 17:12:39.681) #right_data: ,6.06,2.53,1.3,1.12,0,1.03,0.27,0.18
( 2023/02/09 17:12:39.750) #right_data: ,6.06,2.85,1.39,0.94,0,0.77,0.09,0.04
( 2023/02/09 17:12:39.821) #right_data: ,5.99,3.11,1.47,0.51,0,0.5,0.04,0
( 2023/02/09 17:12:39.882) #right_data: ,6.49,4.35,1.87,0.01,0,0.41,0.05,0
( 2023/02/09 17:12:39.942) #right_data: ,6.8,4.96,2.13,0.26,0,0.41,0,0
( 2023/02/09 17:12:40.011) #right_data: ,6.27,3.25,2.23,1.06,0,0.28,0,0
( 2023/02/09 17:12:40.078) #right_data: ,0.88,0,0,0.05,0,0,0,0
( 2023/02/09 17:12:40.156) #right_data: ,0.31,0,0,0.02,0,0,0.01,0.01
( 2023/02/09 17:12:40.217) #right_data: ,0.44,0,0,0,0,0,0,0
( 2023/02/09 17:12:40.275) #right_data: ,0.45,0,0,0,0,0,0,0
( 2023/02/09 17:12:40.339) #right_data: ,0.41,0,0,0,0,0,0,0
( 2023/02/09 17:12:40.407) #right_data: ,0.34,0,0,0,0,0,0,0
( 2023/02/09 17:12:40.478) #right_data: ,0.16,0,0,0.02,0,0,0,0
( 2023/02/09 17:12:40.542) #right_data: ,0.13,0,0,0,0,0,0.44,0.49
( 2023/02/09 17:12:40.603) #right_data: ,1.23,0,0,0.48,0,0.79,6.06,4.8
( 2023/02/09 17:12:40.672) #right_data: ,1.23,0,0,0.48,0,0.79,6.06,4.8
( 2023/02/09 17:12:40.734) #right_data: ,3.78,0.25,0.91,0.28,0,0.72,4.26,2.89
( 2023/02/09 17:12:40.796) #right_data: ,4.69,0.82,0.46,1.06,0,1.09,2.82,1.39
( 2023/02/09 17:12:40.863) #right_data: ,5.18,0.45,1.65,1.72,0,1.25,0.32,0.36
( 2023/02/09 17:12:40.921) #right_data: ,4.96,0.47,1.78,1.8,0,1.07,0.16,0.18
( 2023/02/09 17:12:40.987) #right_data: ,4.45,0.65,1.83,1.67,0,0.62,0.08,0.04
( 2023/02/09 17:12:41.055) #right_data: ,4.26,0.96,2.08,1.92,0,0.78,0.1,0.02
( 2023/02/09 17:12:41.127) #right_data: ,4.96,2.13,2.58,2.39,0,0.96,0.03,0
( 2023/02/09 17:12:41.189) #right_data: ,4.69,1.78,3.55,3.32,0,1.03,0,0
( 2023/02/09 17:12:41.248) #right_data: ,3.82,0,0.72,1.61,0,0,0,0
( 2023/02/09 17:12:41.311) #right_data: ,1.39,0,0.09,0.67,0,0,0,0
( 2023/02/09 17:12:41.380) #right_data: ,0.28,0,0,0.03,0,0,0,0
( 2023/02/09 17:12:41.450) #right_data: ,0.19,0,0,0,0,0,0,0
( 2023/02/09 17:12:41.511) #right_data: ,0.14,0,0,0,0,0,0,0
( 2023/02/09 17:12:41.570) #right_data: ,0.14,0,0,0,0,0,0,0
( 2023/02/09 17:12:41.634) #right_data: ,0.06,0,0,0,0,0,0,0
( 2023/02/09 17:12:41.702) #right_data: ,0.06,0,0,0,0,0,0,0
( 2023/02/09 17:12:41.771) #right_data: ,0.06,0,0,0,0,0,0,0
