( 2023/02/09 19:29:05.645) #right_data: ,R_FSR1,R_FSR2,R_FSR3,R_FSR4,R_FSR5,R_FSR6,R_FSR7,R_FSR8
( 2023/02/09 19:29:26.993) #right_data: ,5.92,5.73,3.95,2.53,0.0,0.29,0.0,0.0
( 2023/02/09 19:29:27.059) #right_data: ,6.06,5.6,3.74,2.08,0.0,0.2,0.0,0.0
( 2023/02/09 19:29:27.128) #right_data: ,5.86,4.45,2.13,1.18,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:27.198) #right_data: ,0.49,0.0,0.0,0.0,0.0,0.0,0.07,0.0
( 2023/02/09 19:29:27.259) #right_data: ,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:27.321) #right_data: ,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:27.387) #right_data: ,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:27.455) #right_data: ,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:27.528) #right_data: ,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:27.589) #right_data: ,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:27.648) #right_data: ,0.16,0.0,0.0,0.11,0.0,0.09,0.33,0.39
( 2023/02/09 19:29:27.713) #right_data: ,0.84,0.0,0.11,1.08,0.0,1.1,4.3,2.64
( 2023/02/09 19:29:27.782) #right_data: ,2.23,0.76,1.12,2.31,0.0,1.3,2.53,1.14
( 2023/02/09 19:29:27.851) #right_data: ,1.85,0.86,2.06,3.32,0.0,2.06,1.37,0.91
( 2023/02/09 19:29:27.912) #right_data: ,1.16,0.75,2.18,3.7,0.0,2.31,1.16,1.26
( 2023/02/09 19:29:27.971) #right_data: ,0.96,1.15,2.42,3.58,0.0,2.13,1.22,1.26
( 2023/02/09 19:29:28.036) #right_data: ,0.84,0.39,2.58,3.47,0.0,1.96,0.07,1.25
( 2023/02/09 19:29:28.105) #right_data: ,1.21,0.78,2.67,3.36,0.0,1.87,0.49,1.25
( 2023/02/09 19:29:28.174) #right_data: ,3.55,3.05,3.32,3.29,0.0,1.59,0.6,0.46
( 2023/02/09 19:29:28.235) #right_data: ,4.49,4.49,3.7,3.18,0.0,0.93,0.14,0.12
( 2023/02/09 19:29:28.296) #right_data: ,5.42,5.86,4.12,2.82,0.0,1.13,0.02,0.0
( 2023/02/09 19:29:28.359) #right_data: ,6.27,5.42,3.7,1.41,0.0,0.08,0.0,0.0
( 2023/02/09 19:29:28.429) #right_data: ,6.27,5.42,3.7,1.41,0.0,0.08,0.0,0.0
( 2023/02/09 19:29:28.500) #right_data: ,5.01,0.82,0.35,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:28.562) #right_data: ,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:28.623) #right_data: ,0.15,0.0,0.01,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:28.687) #right_data: ,0.15,0.0,0.01,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:28.756) #right_data: ,0.11,0.01,0.01,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:28.823) #right_data: ,0.11,0.04,0.01,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:28.884) #right_data: ,0.09,0.07,0.03,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:28.944) #right_data: ,0.09,0.09,0.04,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:29.001) #right_data: ,0.12,0.12,0.07,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:29.065) #right_data: ,0.15,0.14,0.09,0.0,0.0,0.0,0.0,0.0
